time,"I(LIP|XI3|XN_05_)"
1.072000e-10,-2.318162e-06
1.074000e-10,-2.471793e-06
1.076000e-10,-2.637697e-06
1.078000e-10,-2.817416e-06
1.080000e-10,-3.012463e-06
1.082000e-10,-3.224177e-06
1.084000e-10,-3.453715e-06
1.086000e-10,-3.702189e-06
1.088000e-10,-3.970917e-06
1.090000e-10,-4.261674e-06
1.092000e-10,-4.576884e-06
1.094000e-10,-4.919679e-06
1.096000e-10,-5.293860e-06
1.098000e-10,-5.703788e-06
1.100000e-10,-6.154278e-06
1.102000e-10,-6.650504e-06
1.104000e-10,-7.197895e-06
1.106000e-10,-7.801906e-06
1.108000e-10,-8.467546e-06
1.110000e-10,-9.198537e-06
1.112000e-10,-9.996031e-06
1.114000e-10,-1.085693e-05
1.116000e-10,-1.177205e-05
1.118000e-10,-1.272452e-05
1.120000e-10,-1.368928e-05
1.122000e-10,-1.463442e-05
1.124000e-10,-1.552502e-05
1.126000e-10,-1.632951e-05
1.128000e-10,-1.702727e-05
1.130000e-10,-1.761553e-05
1.132000e-10,-1.811359e-05
1.134000e-10,-1.856285e-05
1.136000e-10,-1.902266e-05
1.138000e-10,-1.956299e-05
1.140000e-10,-2.025588e-05
1.142000e-10,-2.116700e-05
1.144000e-10,-2.234858e-05
1.146000e-10,-2.383305e-05
1.148000e-10,-2.562640e-05
1.150000e-10,-2.770003e-05
1.152000e-10,-2.998128e-05
1.154000e-10,-3.234592e-05
1.156000e-10,-3.461948e-05
1.158000e-10,-3.659429e-05
1.160000e-10,-3.806359e-05
1.162000e-10,-3.886514e-05
1.164000e-10,-3.892023e-05
1.166000e-10,-3.825512e-05
1.168000e-10,-3.699807e-05
1.170000e-10,-3.535404e-05
1.172000e-10,-3.356547e-05
1.174000e-10,-3.187099e-05
1.176000e-10,-3.047184e-05
1.178000e-10,-2.951161e-05
1.180000e-10,-2.906956e-05
1.182000e-10,-2.916464e-05
1.184000e-10,-2.976555e-05
1.186000e-10,-3.080247e-05
1.188000e-10,-3.217668e-05
1.190000e-10,-3.376640e-05
1.192000e-10,-3.542956e-05
1.194000e-10,-3.700727e-05
1.196000e-10,-3.833279e-05
1.198000e-10,-3.924947e-05
1.200000e-10,-3.963661e-05
1.202000e-10,-3.943675e-05
1.204000e-10,-3.867510e-05
1.206000e-10,-3.746347e-05
1.208000e-10,-3.598575e-05
1.210000e-10,-3.446803e-05
1.212000e-10,-3.314061e-05
1.214000e-10,-3.220103e-05
1.216000e-10,-3.178521e-05
1.218000e-10,-3.195134e-05
1.220000e-10,-3.267699e-05
1.222000e-10,-3.386781e-05
1.224000e-10,-3.537390e-05
1.226000e-10,-3.701007e-05
1.228000e-10,-3.857711e-05
1.230000e-10,-3.988287e-05
1.232000e-10,-4.076366e-05
1.234000e-10,-4.110537e-05
1.236000e-10,-4.086185e-05
1.238000e-10,-4.006573e-05
1.240000e-10,-3.882736e-05
1.242000e-10,-3.732035e-05
1.244000e-10,-3.575623e-05
1.246000e-10,-3.435347e-05
1.248000e-10,-3.330670e-05
1.250000e-10,-3.276081e-05
1.252000e-10,-3.279276e-05
1.254000e-10,-3.340229e-05
1.256000e-10,-3.451251e-05
1.258000e-10,-3.598014e-05
1.260000e-10,-3.761463e-05
1.262000e-10,-3.920366e-05
1.264000e-10,-4.054159e-05
1.266000e-10,-4.145709e-05
1.268000e-10,-4.183648e-05
1.270000e-10,-4.163968e-05
1.272000e-10,-4.090608e-05
1.274000e-10,-3.974838e-05
1.276000e-10,-3.833492e-05
1.278000e-10,-3.686341e-05
1.280000e-10,-3.553168e-05
1.282000e-10,-3.451089e-05
1.284000e-10,-3.392511e-05
1.286000e-10,-3.383895e-05
1.288000e-10,-3.425257e-05
1.290000e-10,-3.510364e-05
1.292000e-10,-3.627565e-05
1.294000e-10,-3.761269e-05
1.296000e-10,-3.893984e-05
1.298000e-10,-4.008694e-05
1.300000e-10,-4.091211e-05
1.302000e-10,-4.132094e-05
1.304000e-10,-4.127844e-05
1.306000e-10,-4.081182e-05
1.308000e-10,-4.000412e-05
1.310000e-10,-3.897974e-05
1.312000e-10,-3.788465e-05
1.314000e-10,-3.686459e-05
1.316000e-10,-3.604523e-05
1.318000e-10,-3.551745e-05
1.320000e-10,-3.532908e-05
1.322000e-10,-3.548307e-05
1.324000e-10,-3.594098e-05
1.326000e-10,-3.663031e-05
1.328000e-10,-3.745491e-05
1.330000e-10,-3.830750e-05
1.332000e-10,-3.908334e-05
1.334000e-10,-3.969331e-05
1.336000e-10,-4.007465e-05
1.338000e-10,-4.019761e-05
1.340000e-10,-4.006714e-05
1.342000e-10,-3.971964e-05
1.344000e-10,-3.921564e-05
1.346000e-10,-3.862978e-05
1.348000e-10,-3.803967e-05
1.350000e-10,-3.751550e-05
1.352000e-10,-3.711181e-05
1.354000e-10,-3.686263e-05
1.356000e-10,-3.678007e-05
1.358000e-10,-3.685611e-05
1.360000e-10,-3.706646e-05
1.362000e-10,-3.737562e-05
1.364000e-10,-3.774215e-05
1.366000e-10,-3.812363e-05
1.368000e-10,-3.848094e-05
1.370000e-10,-3.878166e-05
1.372000e-10,-3.900233e-05
1.374000e-10,-3.912956e-05
1.376000e-10,-3.916012e-05
1.378000e-10,-3.909993e-05
1.380000e-10,-3.896238e-05
1.382000e-10,-3.876617e-05
1.384000e-10,-3.853293e-05
1.386000e-10,-3.828498e-05
1.388000e-10,-3.804348e-05
1.390000e-10,-3.782718e-05
1.392000e-10,-3.765175e-05
